,Drug,Model,Metric,Score
463,Ketamine,SGD,Precision,0.34806629834254144
464,Ketamine,SGD,Recall,0.6774193548387096
465,Ketamine,SGD,Accuracy,0.6864406779661016
466,Ketamine,SGD,F1_Score,0.45985401459854014
467,Ketamine,SGD,AUC,0.7398927568303686
468,Legal_highs,Logistic_Regression,Precision,0.7607655502392344
469,Legal_highs,Logistic_Regression,Recall,0.7871287128712872
470,Legal_highs,Logistic_Regression,Accuracy,0.8029661016949152
471,Legal_highs,Logistic_Regression,F1_Score,0.7737226277372261
472,Legal_highs,Logistic_Regression,AUC,0.8793912724605795
473,Legal_highs,NB_Gaussian,Precision,0.7046413502109705
474,Legal_highs,NB_Gaussian,Recall,0.8267326732673267
475,Legal_highs,NB_Gaussian,Accuracy,0.777542372881356
476,Legal_highs,NB_Gaussian,F1_Score,0.7608200455580867
477,Legal_highs,NB_Gaussian,AUC,0.8194719471947194
478,Legal_highs,KNN,Precision,0.6523605150214592
479,Legal_highs,KNN,Recall,0.7524752475247525
480,Legal_highs,KNN,Accuracy,0.722457627118644
481,Legal_highs,KNN,F1_Score,0.6988505747126437
482,Legal_highs,KNN,AUC,0.7262376237623762
483,Legal_highs,Decision_Tree,Precision,0.6631016042780749
484,Legal_highs,Decision_Tree,Recall,0.6138613861386139
485,Legal_highs,Decision_Tree,Accuracy,0.701271186440678
486,Legal_highs,Decision_Tree,F1_Score,0.6375321336760925
487,Legal_highs,Decision_Tree,AUC,0.6902640264026403
488,Legal_highs,Random_Forest,Precision,0.7795698924731183
489,Legal_highs,Random_Forest,Recall,0.7178217821782178
490,Legal_highs,Random_Forest,Accuracy,0.7923728813559322
491,Legal_highs,Random_Forest,F1_Score,0.7474226804123711
492,Legal_highs,Random_Forest,AUC,0.8688027136046939
493,Legal_highs,SVC,Precision,0.7619047619047619
494,Legal_highs,SVC,Recall,0.7920792079207921
495,Legal_highs,SVC,Accuracy,0.8050847457627118
496,Legal_highs,SVC,F1_Score,0.7766990291262137
497,Legal_highs,SVC,AUC,0.8719196919691969
